"Refund action is not available.","Refund action is not available."
"eWAY refund failed.","eWAY refund failed."
"Invalid order for refund.","Invalid order for refund."
"Invalid transaction for refund.","Invalid transaction for refund."
"Standard","Standard"
"Enable CVN","Enable CVN"
"Enable CVN + Beagle Anti-Fraud","Enable CVN + Beagle Anti-Fraud"
"--Please Select--","--Please Select--"
"Selected currency (%s) is not compatible with this payment method.","Selected currency (%s) is not compatible with this payment method."
"Order %s","Order %s"
"Automatic invoice.","Automatic invoice."
"Payment failed. Please try again.","Payment failed. Please try again."
"Transaction ID: %s","Transaction ID: %s"
"You will be redirected to the payment gateway after placing an order.","You will be redirected to the payment gateway after placing an order."
"Pending Payment Status","Pending Payment Status"
"Processing Order Status","Processing Order Status"
"Test Mode","Test Mode"
"Debug Mode","Debug Mode"
"See database table <em>eway_api_debug</em>.","See database table <em>eway_api_debug</em>."
"Send Order Email","Send Order Email"
"Create Invoice","Create Invoice"
"Send Invoice Email","Send Invoice Email"
"Subscription","Subscription"
"Interface Language","Interface Language"
"The language for the Hosted Payments page.","The language for the Hosted Payments page."
"Customer ID","Customer ID"
"Use 87654321 for testing.","Use 87654321 for testing."
"Username","Username"
"Use TestAccount for testing.","Use TestAccount for testing."
"Modifiable Customer Details","Modifiable Customer Details"
"Refund Password","Refund Password"
"Card Security","Card Security"
"Appmerce eWAY Hosted Template Settings","Appmerce eWAY Hosted Template Settings"
"Page Title","Page Title"
"This is value will be displayed as the title of the browser. Default: eWAY Hosted Payment Page","This is value will be displayed as the title of the browser. Default: eWAY Hosted Payment Page"
"Page Description","Page Description"
"This value will be displayed above the Transaction Details. Default: Blank","This value will be displayed above the Transaction Details. Default: Blank"
"Page Footer","Page Footer"
"This value will be displayed below the Transaction Details.","This value will be displayed below the Transaction Details."
"Company Name","Company Name"
"This will be displayed as the company the customer is purchasing from, including this is highly recommended.","This will be displayed as the company the customer is purchasing from, including this is highly recommended."
"Company Logo","Company Logo"
"The url of the image can be hosted on the merchants website and pass the secure https:// path of the image to be displayed at the top of the website. This is the top image block on the webpage and is restricted to 960px X 65px. A default secure image is used if none is supplied.",The url of the image can be hosted on the merchants website and pass the secure https:// path of the image to be displayed at the top of the website. This is the top image block on the webpage and is restricted to 960px X 65px. A default secure image is used if none is supplied."
"Page Banner","Page Banner"
"The url of the image can be hosted on the merchants website and pass the secure https:// path of the image to be displayed at the top of the website. This is the second image block on the webpage and is restricted to 960px X 65px. A default secure image is used if none is supplied.","The url of the image can be hosted on the merchants website and pass the secure https:// path of the image to be displayed at the top of the website. This is the second image block on the webpage and is restricted to 960px X 65px. A default secure image is used if none is supplied."
"Managed Customer ID: %s","Managed Customer ID: %s"
"Capture action is not available.","Capture action is not available."
"eWAY capture failed: %s","eWAY capture failed: %s"
"Invalid order for capture.","Invalid order for capture."
"Invalid amount for capture.";"Invalid amount for capture."
"Token payment authorized. Please create a Magento invoice and capture the amount online.";"Token payment authorized. Please create a Magento invoice and capture the amount online."
"Token Payments","Token Payments"
"Enable to capture amount when creating an invoice through Magento. Prevents automatic invoice creation.","Enable to capture amount when creating an invoice through Magento. Prevents automatic invoice creation."
"Token Username","Token Username"
"Your eWAY Business Center username.","Your eWAY Business Center username."
"Token Password","Token Password"
"Your eWAY Business Center password.","Your eWAY Business Center password."
