"FAQs Search","FAQs Search"
"Search Faq\'s:","Search Faq\'s:"
"Search","Search"
"FAQs","FAQs"
"No Faqs find yet!","No Faqs find yet!"
"Click on the Faq\'s topic:","Click on the Faq\'s topic:"
"View all topics","View all topics"
"No Faqs Found in this topic!","No Faqs Found in this topic!"
"FAQs Search Result","FAQs Search Result"
"No Faq Found!","No Faq Found!"
"FAQ\'s Categories","FAQ\'s Categories"
"No Category find yet!","No Category find yet!"
"No Faqs Found in this topic!","No Faqs Found in this topic!"
"Read more","Read more"
"Thankyou for Rating","Thankyou for Rating"
"Unable to process Rating ","Unable to process Rating "
"Faq search results","Faq search results"
"Faqs Management","Faqs Management"
"Add New Faq","Add New Faq"
"Topics Management","Topics Management"
"Add New Topic","Add New Topic"
"Save Topic","Save Topic"
"Delete Topic","Delete Topic"
"Add Topic","Add Topic"
"Edit Topic '%s'","Edit Topic '%s'"
"ID","ID"
"Title","Title"
"Identifier","Identifier"
"Show on main page","Show on main page"
"Order / Position","Order / Position"
"Status","Status"
"Action","Action"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Edit Topic","Edit Topic"
"Topic Information","Topic Information"
"SEF URL Identifier","SEF URL Identifier"
"Show on main page","Show on main page"
"Enabled","Enabled"
"Disabled","Disabled"
"Save Faq","Save Faq"
"Delete Faq","Delete Faq"
"Edit Faq '%s'","Edit Faq '%s'"
"Add Faq","Add Faq"
"Open In Accordion","Open In Accordion"
"Faq Information","Faq Information"
"Question","Question"
"Add in Topic","Add in Topic"
"open by default in Accordion, when accordian is enabled from configuration.","open by default in Accordion, when accordian is enabled from configuration."
"Manage Faqs","Manage Faqs"
"Item News","Item News"
"Faq does not exist","Faq does not exist"
"Faq was successfully saved","Faq was successfully saved"
"Unable to find Faq to save","Unable to find Faq to save"
"Faq was successfully deleted","Faq was successfully deleted"
"Please select Faq(s)","Please select Faq(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Manage Topics","Manage Topics"
"Topic was successfully saved","Topic was successfully saved"
"All","All"
"Only Registered","Only Registered"
"None","None"
"Selected","Selected"
"Theme1","Theme1"
"Theme2","Theme2"
"Theme3","Theme3"
"Theme4","Theme4"
"Theme5","Theme5"







